#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,
1,CVE-2006-4800,,,DoS Exec Code Overflow,2006-09-14,2018-10-30,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,"Multiple buffer overflows in libavcodec in ffmpeg before 0.4.9_p20060530 allow remote attackers to cause a denial of service or possibly execute arbitrary code via multiple unspecified vectors in (1) dtsdec.c, (2) vorbis.c, (3) rm.c, (4) sierravmd.c, (5) smacker.c, (6) tta.c, (7) 4xm.c, (8) alac.c, (9) cook.c, (10) shorten.c, (11) smacker.c, (12) snow.c, and (13) tta.c. NOTE: it is likely that this is a different vulnerability than CVE-2005-4048 and CVE-2006-2802."
1,CVE-2008-4869,399,,DoS,2008-10-31,2017-08-07,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,"FFmpeg 0.4.9, as used by MPlayer, allows context-dependent attackers to cause a denial of service (memory consumption) via unknown vectors, aka a ""Tcp/udp memory leak."""
2,CVE-2008-4868,,,,2008-10-31,2017-08-07,10.0,Admin,Remote,Low,Not required,Complete,Complete,Complete,"Unspecified vulnerability in the avcodec_close function in libavcodec/utils.c in FFmpeg 0.4.9 before r14787, as used by MPlayer, has unknown impact and attack vectors, related to a free ""on random pointers."""
3,CVE-2008-4867,119,,Overflow,2008-10-31,2017-08-07,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,"Buffer overflow in libavcodec/dca.c in FFmpeg 0.4.9 before r14917, as used by MPlayer, allows context-dependent attackers to have an unknown impact via vectors related to an incorrect DCA_MAX_FRAME_SIZE value."
4,CVE-2008-4866,119,,Exec Code Overflow,2008-10-31,2017-08-07,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,"Multiple buffer overflows in libavformat/utils.c in FFmpeg 0.4.9 before r14715, as used by MPlayer, allow context-dependent attackers to have an unknown impact via vectors related to execution of DTS generation code with a delay greater than MAX_REORDER_DELAY."
5,CVE-2008-3162,119,,DoS Exec Code Overflow,2008-07-14,2018-10-30,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Stack-based buffer overflow in the str_read_packet function in libavformat/psxstr.c in FFmpeg before r13993 allows remote attackers to cause a denial of service (application crash) or execute arbitrary code via a crafted STR file that interleaves audio and video sectors.
1,CVE-2009-0385,189,,Exec Code,2009-02-02,2018-10-11,9.3,Admin,Remote,Medium,Not required,Complete,Complete,Complete,"Integer signedness error in the fourxm_read_header function in libavformat/4xm.c in FFmpeg before revision 16846 allows remote attackers to execute arbitrary code via a malformed 4X movie file with a large current_track value, which triggers a NULL pointer dereference."
1,CVE-2010-3429,94,,Exec Code,2010-09-30,2018-10-10,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"flicvideo.c in libavcodec 0.6 and earlier in FFmpeg, as used in MPlayer and other products, allows remote attackers to execute arbitrary code via a crafted flic file, related to an ""arbitrary offset dereference vulnerability."""
2,CVE-2009-4640,189,,DoS Exec Code,2010-02-09,2011-10-25,4.3,None,Remote,Medium,Not required,None,None,Partial,Array index error in vorbis_dec.c in FFmpeg 0.5 allows remote attackers to cause a denial of service and possibly execute arbitrary code via a crafted Vorbis file that triggers an out-of-bounds read.
3,CVE-2009-4639,189,,DoS,2010-02-09,2011-10-25,4.3,None,Remote,Medium,Not required,None,None,Partial,The av_rescale_rnd function in the AVI demuxer in FFmpeg 0.5 allows remote attackers to cause a denial of service (crash) via a crafted AVI file that triggers a divide-by-zero error.
4,CVE-2009-4638,189,,DoS Exec Code Overflow,2010-02-09,2010-05-04,4.3,None,Remote,Medium,Not required,None,None,Partial,Integer overflow in FFmpeg 0.5 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via unknown vectors.
5,CVE-2009-4637,119,,DoS Exec Code Overflow,2010-02-09,2010-05-20,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,FFmpeg 0.5 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via unknown vectors that trigger a stack-based buffer overflow.
