#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,
1,CVE-2006-5740,,,DoS,2006-10-27,2018-10-17,5,None,Remote,Low,Not required,None,None,Partial,Unspecified vulnerability in the LDAP dissector in Wireshark (formerly Ethereal) 0.99.3 allows remote attackers to cause a denial of service (crash) via a crafted LDAP packet.
2,CVE-2006-5595,,,,2006-10-27,2017-10-10,5,None,Remote,Low,Not required,None,None,Partial,Unspecified vulnerability in the AirPcap support in Wireshark (formerly Ethereal) 0.99.3 has unspecified attack vectors related to WEP key parsing.
3,CVE-2006-5469,,,DoS,2006-10-27,2018-10-17,5,None,Remote,Low,Not required,None,None,Partial,Unspecified vulnerability in the WBXML dissector in Wireshark (formerly Ethereal) 0.10.11 through 0.99.3 allows remote attackers to cause a denial of service (crash) via certain vectors that trigger a null dereference.
4,CVE-2006-5468,,,DoS,2006-10-27,2018-10-17,5,None,Remote,Low,Not required,None,None,Partial,Unspecified vulnerability in the HTTP dissector in Wireshark (formerly Ethereal) 0.99.3 allows remote attackers to cause a denial of service (crash) via unspecified vectors.
5,CVE-2006-4805,,,DoS,2006-10-27,2018-10-17,5,None,Remote,Low,Not required,None,None,Partial,epan/dissectors/packet-xot.c in the XOT dissector (dissect_xot_pdu) in Wireshark (formerly Ethereal) 0.9.8 through 0.99.3 allows remote attackers to cause a denial of service (memory consumption and crash) via an encoded XOT packet that produces a zero length value when it is decoded.
6,CVE-2006-4574,,,DoS,2006-10-27,2018-10-17,5,None,Remote,Low,Not required,None,None,Partial,Off-by-one error in the MIME Multipart dissector in Wireshark (formerly Ethereal) 0.10.1 through 0.99.3 allows remote attackers to cause a denial of service (crash) via certain vectors that trigger an assertion error related to unexpected length values.
7,CVE-2006-4333,399,,DoS,2006-08-24,2018-10-17,5.4,None,Remote,High,Not required,None,None,Complete,The SSCOP dissector in Wireshark (formerly Ethereal) before 0.99.3 allows remote attackers to cause a denial of service (resource consumption) via malformed packets that cause the Q.2391 dissector to use excessive memory.
8,CVE-2006-4332,,,DoS,2006-08-24,2017-07-19,5,None,Remote,Low,Not required,None,None,Partial,"Unspecified vulnerability in the DHCP dissector in Wireshark (formerly Ethereal) 0.10.13 through 0.99.2, when run on Windows, allows remote attackers to cause a denial of service (crash) via unspecified vectors that trigger a bug in Glib."
9,CVE-2006-4331,,,DoS,2006-08-24,2017-10-10,5,None,Remote,Low,Not required,None,None,Partial,Multiple off-by-one errors in the IPSec ESP preference parser in Wireshark (formerly Ethereal) 0.99.2 allow remote attackers to cause a denial of service (crash) via unspecified vectors.
10,CVE-2006-4330,,,DoS,2006-08-24,2018-10-17,4.3,None,Remote,Medium,Not required,None,None,Partial,Unspecified vulnerability in the SCSI dissector in Wireshark (formerly Ethereal) 0.99.2 allows remote attackers to cause a denial of service (crash) via unspecified vectors.
11,CVE-2006-3631,399,,DoS,2006-07-21,2018-10-18,5,None,Remote,Low,Not required,None,None,Partial,Unspecified vulnerability in the SSH dissector in Wireshark (aka Ethereal) 0.9.10 to 0.99.0 allows remote attackers to cause a denial of service (infinite loop) via unknown attack vectors.
12,CVE-2006-3630,189,,,2006-07-21,2018-10-18,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,Multiple off-by-one errors in Wireshark (aka Ethereal) 0.9.7 to 0.99.0 have unknown impact and remote attack vectors via the (1) NCP NMAS and (2) NDPS dissectors.
13,CVE-2006-3628,134,,DoS Exec Code,2006-07-21,2018-10-18,10,Admin,Remote,Low,Not required,Complete,Complete,Complete,"Multiple format string vulnerabilities in Wireshark (aka Ethereal) 0.10.x to 0.99.0 allow remote attackers to cause a denial of service and possibly execute arbitrary code via the (1) ANSI MAP, (2) Checkpoint FW-1, (3) MQ, (4) XML, and (5) NTP dissectors."
14,CVE-2006-3627,399,,DoS,2006-07-21,2018-10-18,5,None,Remote,Low,Not required,None,None,Partial,Unspecified vulnerability in the GSM BSSMAP dissector in Wireshark (aka Ethereal) 0.10.11 to 0.99.0 allows remote attackers to cause a denial of service (crash) via unspecified vectors.
1,CVE-2007-6451,399,,DoS,2007-12-19,2018-10-15,4.3,None,Remote,Medium,Not required,None,None,Partial,Unspecified vulnerability in the CIP dissector in Wireshark (formerly Ethereal) 0.9.14 to 0.99.6 allows remote attackers to cause a denial of service (crash) via unknown vectors that trigger allocation of large amounts of memory.
2,CVE-2007-6450,,,DoS,2007-12-19,2018-10-15,5,None,Remote,Low,Not required,None,None,Partial,The RPL dissector in Wireshark (formerly Ethereal) 0.9.8 to 0.99.6 allows remote attackers to cause a denial of service (infinite loop) via unknown vectors.
3,CVE-2007-6441,264,,DoS,2007-12-19,2018-10-15,3.3,None,Local Network,Low,Not required,None,None,Partial,"The WiMAX dissector in Wireshark (formerly Ethereal) 0.99.6 allows remote attackers to cause a denial of service (crash) via unknown vectors related to ""unaligned access on some platforms."""
4,CVE-2007-6439,399,,DoS,2007-12-19,2018-10-15,6.1,None,Local Network,Low,Not required,None,None,Complete,"Wireshark (formerly Ethereal) 0.99.6 allows remote attackers to cause a denial of service (infinite or large loop) via the (1) IPv6 or (2) USB dissector, which can trigger resource consumption or a crash. NOTE: this identifier originally included Firebird/Interbase, but it is already covered by CVE-2007-6116. The DCP ETSI issue is already covered by CVE-2007-6119."
5,CVE-2007-6438,119,,DoS Overflow,2007-12-19,2018-10-15,5,None,Remote,Low,Not required,None,None,Partial,"Unspecified vulnerability in the SMB dissector in Wireshark (formerly Ethereal) 0.99.6 allows remote attackers to cause a denial of service via unknown vectors. NOTE: this identifier originally included MP3 and NCP, but those issues are already covered by CVE-2007-6111."
6,CVE-2007-6121,20,,DoS,2007-11-23,2018-10-15,5,None,Remote,Low,Not required,None,None,Partial,Wireshark (formerly Ethereal) 0.8.16 to 0.99.6 allows remote attackers to cause a denial of service (crash) via a malformed RPC Portmap packet.
7,CVE-2007-6120,119,,DoS Overflow,2007-11-23,2018-10-15,5,None,Remote,Low,Not required,None,None,Partial,The Bluetooth SDP dissector Wireshark (formerly Ethereal) 0.99.2 to 0.99.6 allows remote attackers to cause a denial of service (infinite loop) via unknown vectors.
8,CVE-2007-6119,,,DoS,2007-11-23,2018-10-15,7.8,None,Remote,Low,Not required,None,None,Complete,The DCP ETSI dissector in Wireshark (formerly Ethereal) 0.99.6 allows remote attackers to cause a denial of service (long loop and resource consumption) via unknown vectors.
9,CVE-2007-6118,,,DoS,2007-11-23,2018-10-15,7.8,None,Remote,Low,Not required,None,None,Complete,The MEGACO dissector in Wireshark (formerly Ethereal) 0.9.14 to 0.99.6 allows remote attackers to cause a denial of service (long loop and resource consumption) via unknown vectors.
10,CVE-2007-6117,,,DoS Exec Code,2007-11-23,2018-10-15,5,None,Remote,Low,Not required,None,None,Partial,Unspecified vulnerability in the HTTP dissector for Wireshark (formerly Ethereal) 0.10.14 to 0.99.6 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via crafted chunked messages.
11,CVE-2007-6116,,,DoS,2007-11-23,2018-10-15,5,None,Remote,Low,Not required,None,None,Partial,The Firebird/Interbase dissector in Wireshark (formerly Ethereal) 0.99.6 allows remote attackers to cause a denial of service (infinite loop or crash) via unknown vectors.
12,CVE-2007-6115,119,,DoS Exec Code Overflow,2007-11-23,2018-10-15,10,None,Remote,Low,Not required,Complete,Complete,Complete,"Buffer overflow in the ANSI MAP dissector for Wireshark (formerly Ethereal) 0.99.5 to 0.99.6, when running on unspecified platforms, allows remote attackers to cause a denial of service and possibly execute arbitrary code via unknown vectors."
13,CVE-2007-6114,119,,DoS Exec Code Overflow,2007-11-23,2018-10-15,10,None,Remote,Low,Not required,Complete,Complete,Complete,Multiple buffer overflows in Wireshark (formerly Ethereal) 0.99.0 through 0.99.6 allow remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via (1) the SSL dissector or (2) the iSeries (OS/400) Communication trace file parser.
14,CVE-2007-6113,189,,DoS,2007-11-23,2018-10-15,4.3,None,Remote,Medium,Not required,None,None,Partial,Integer signedness error in the DNP3 dissector in Wireshark (formerly Ethereal) 0.10.12 to 0.99.6 allows remote attackers to cause a denial of service (long loop) via a malformed DNP3 packet.
15,CVE-2007-6112,119,,DoS Exec Code Overflow,2007-11-23,2018-10-15,10,None,Remote,Low,Not required,Complete,Complete,Complete,Buffer overflow in the PPP dissector Wireshark (formerly Ethereal) 0.99.6 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via unknown vectors.
16,CVE-2007-6111,,,DoS,2007-11-23,2018-10-15,7.1,None,Remote,Medium,Not required,None,None,Complete,Multiple unspecified vulnerabilities in Wireshark (formerly Ethereal) allow remote attackers to cause a denial of service (crash) via (1) a crafted MP3 file or (2) unspecified vectors to the NCP dissector.
17,CVE-2007-3393,,,DoS,2007-06-25,2017-10-10,5,None,Remote,Low,Not required,None,None,Partial,Off-by-one error in the DHCP/BOOTP dissector in Wireshark before 0.99.6 allows remote attackers to cause a denial of service (crash) via crafted DHCP-over-DOCSIS packets.
18,CVE-2007-3392,,,DoS,2007-06-25,2018-10-16,5,None,Remote,Low,Not required,None,None,Partial,Wireshark before 0.99.6 allows remote attackers to cause a denial of service via malformed (1) SSL or (2) MMS packets that trigger an infinite loop.
19,CVE-2007-3391,20,,DoS,2007-06-25,2017-10-10,7.8,None,Remote,Low,Not required,None,None,Complete,Wireshark 0.99.5 allows remote attackers to cause a denial of service (memory consumption) via a malformed DCP ETSI packet that triggers an infinite loop.
