,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
166,166,encode_apng_libavcodec%pngenc_8f4c3e4b92212d98f5b9ca2dee13e076effe9589_CVE-2016-2327,157,27.0,1147,190.0,13,104,2,25,4,37,20,11,11,2,0,0,36.0,1.9236453201970445,21.5,3.067733990147784,3.067733990147784,True,libavcodec/pngenc.c,encode_apng,74,95,88,91,19,2016
167,167,mov_build_index_libavformat%mov_8a3221cc67a516dfc1700bdae3566ec52c7ee823_CVE-2016-6164,348,89.0,5462,1291.0,78,1241,17,126,2,95,115,29,39,1,0,0,46.17647058823529,2.7046585555417444,25.882352941176467,9.523537390685007,9.523537390685007,True,libavformat/mov.c,mov_build_index,107,109,231,549,2,2016
168,168,apng_encode_frame_libavcodec%pngenc_8f4c3e4b92212d98f5b9ca2dee13e076effe9589_CVE-2016-2327,137,16.0,1147,190.0,3,104,0,25,4,46,20,8,2,0,0,0,57.66666666666666,0.8333333333333333,16.666666666666668,2.863756613756614,2.863756613756614,True,libavcodec/pngenc.c,apng_encode_frame,0,122,1,5,19,2016
169,169,tiff_decode_tag_libavcodec%tiff_89f464e9c229006e16f6bb5403c5529fdd0a9edd_CVE-2016-2329,416,120.0,1388,387.0,91,244,16,35,2,29,23,3,37,0,0,0,49.0625,2.726960167482372,33.75,12.4230823757587,12.4230823757587,True,libavcodec/tiff.c,tiff_decode_tag,85,182,70,147,1,2016
170,170,http_open_libavformat%http_2a05c8f813de6f2278827734bf8102291e7484aa_CVE-2016-10190,41,10.0,1673,380.0,35,343,10,64,4,10,43,0,1,0,0,0,52.9,1.969348876492782,40.7,4.426450294137355,4.426450294137355,True,libavformat/http.c,http_open,21,21,248,1830,1,2016
171,171,decode_frame_libavcodec%tiff_89f464e9c229006e16f6bb5403c5529fdd0a9edd_CVE-2016-2329,210,57.0,1388,387.0,70,244,14,35,4,21,23,9,43,2,0,0,86.5,1.5301906093251374,33.214285714285715,7.264202282805632,7.264202282805632,True,libavcodec/tiff.c,decode_frame,45,63,225,741,1,2016
172,172,http_connect_libavformat%http_2a05c8f813de6f2278827734bf8102291e7484aa_CVE-2016-10190,186,49.0,1673,380.0,2,343,2,64,7,27,43,81,9,0,0,0,142.5,4.417752715121137,126.5,9.4890559732665,9.4890559732665,True,libavformat/http.c,http_connect,27,72,248,1830,1,2016
173,173,http_read_header_libavformat%http_2a05c8f813de6f2278827734bf8102291e7484aa_CVE-2016-10190,33,8.0,1673,380.0,2,343,2,64,2,8,43,2,0,0,0,0,96.5,1.603560371517028,103.5,9.127244582043344,9.127244582043344,True,libavformat/http.c,http_read_header,4,22,42,140,9,2016
174,174,gif_image_write_image_libavcodec%gif_03d83ba34b2070878909eae18dfac0f519503777_CVE-2016-2330,166,32.0,359,59.0,22,80,4,21,7,80,8,16,20,0,0,0,54.0,5.688888888888887,13.5,27.204761904761906,27.204761904761906,True,libavcodec/gif.c,gif_image_write_image,62,64,14,21,43,2016
175,175,store_icy_libavformat%http_2a05c8f813de6f2278827734bf8102291e7484aa_CVE-2016-10190,41,7.0,1673,380.0,4,343,4,64,2,18,43,9,0,0,0,0,55.5,0.7389006791171477,65.25,2.541065365025467,2.541065365025467,True,libavformat/http.c,store_icy,5,35,1,17,12,2016
176,176,gif_encode_init_libavcodec%gif_03d83ba34b2070878909eae18dfac0f519503777_CVE-2016-2330,29,7.0,359,59.0,6,80,4,21,1,4,8,0,3,0,0,0,32.0,5.6189655172413815,17.5,26.67315270935961,26.67315270935961,True,libavcodec/gif.c,gif_encode_init,7,7,143,286,25,2016
177,177,gif_encode_close_libavcodec%gif_03d83ba34b2070878909eae18dfac0f519503777_CVE-2016-2330,11,1.0,359,59.0,10,80,5,21,1,4,8,0,0,0,0,0,54.2,4.599445918066609,17.4,22.018864047829567,22.018864047829567,True,libavcodec/gif.c,gif_encode_close,2,8,49,95,336,2016
178,178,decode_block_libavcodec%exr_79f52a0dbd484aad111e4bf4a4f7047c7ceb6137_CVE-2016-6920,285,48.0,1834,306.0,13,116,4,19,4,66,38,68,0,3,0,0,3.0,0.03125,6.5,0.3645833333333333,0.3645833333333333,True,libavcodec/exr.c,decode_block,124,126,2,26,3,2016
179,179,rtmp_packet_read_one_chunk_libavformat%rtmppkt_7d57ca4d9a75562fa32e40766211de150f8b3ee7_CVE-2016-10191,122,18.0,667,168.0,21,76,8,18,6,21,26,6,30,0,0,0,48.125,2.078316383908489,41.5,4.290273761326393,4.290273761326393,True,libavformat/rtmppkt.c,rtmp_packet_read_one_chunk,11,51,2,15,1,2016
180,180,http_read_stream_libavformat%http_2a05c8f813de6f2278827734bf8102291e7484aa_CVE-2016-10190,70,24.0,1673,380.0,28,343,12,64,3,15,43,2,3,0,0,0,133.0,1.5607213138746714,32.0,3.8085145554519424,3.8085145554519424,True,libavformat/http.c,http_read_stream,7,14,42,140,1,2016
181,181,parse_content_range_libavformat%http_2a05c8f813de6f2278827734bf8102291e7484aa_CVE-2016-10190,15,7.0,1673,380.0,7,343,5,64,2,5,43,1,3,0,0,0,91.2,2.125989974937343,54.2,5.3799081035923155,5.3799081035923155,True,libavformat/http.c,parse_content_range,2,13,1,17,748,2016
