,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
1,1,ext4_alloc_inode_fs%ext4%super_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,36.0,2.0,4138.0,692.0,19.0,253.0,4.0,69.0,1.0,1.0,107.0,5.0,0.0,0.0,0.0,0.0,66.25,2.1966911764705883,8.5,3.334558823529412,3.334558823529412,True,fs/ext4/super.c,ext4_alloc_inode,5,6,22,590,7,2015
3,3,parse_options_fs%ext4%super_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,412.0,129.0,4138.0,692.0,29.0,253.0,4.0,69.0,6.0,12.0,107.0,19.0,21.0,0.0,0.0,0.0,21323.75,1019.1133578431372,7.75,2816.4595588235293,2816.4595588235293,True,fs/ext4/super.c,parse_options,45,349,22,590,1,2015
4,4,mpage_da_map_blocks_fs%ext4%inode_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,129.0,18.0,5843.0,772.0,20.0,246.0,4.0,51.0,1.0,23.0,115.0,46.0,12.0,1.0,0.0,0.0,66.25,2.1966911764705883,8.5,3.334558823529412,3.334558823529412,True,fs/ext4/inode.c,mpage_da_map_blocks,43,43,3,18,7,2015
5,5,mpage_put_bnr_to_bhs_fs%ext4%inode_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,84.0,13.0,5843.0,772.0,6.0,246.0,2.0,51.0,3.0,31.0,115.0,10.0,2.0,0.0,0.0,0.0,24.5,1.1875,8.5,1.875,1.875,True,fs/ext4/inode.c,mpage_put_bnr_to_bhs,18,63,2,18,7,2015
6,6,ext4_writepage_fs%ext4%inode_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,90.0,10.0,5843.0,772.0,17.0,246.0,4.0,51.0,2.0,10.0,115.0,36.0,3.0,0.0,0.0,0.0,84.75,6.346691176470588,9.75,6.484558823529412,6.484558823529412,True,fs/ext4/inode.c,ext4_writepage,1,11,1,7,122,2015
7,7,ext4_write_begin_fs%ext4%inode_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,88.0,12.0,5843.0,772.0,10.0,246.0,3.0,51.0,7.0,13.0,115.0,22.0,8.0,0.0,0.0,0.0,79.33333333333333,2.9289215686274512,8.333333333333334,4.446078431372549,4.446078431372549,True,fs/ext4/inode.c,ext4_write_begin,22,32,20,89,122,2015
8,8,ext4_init_io_end_fs%ext4%inode_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,20.0,2.0,5843.0,772.0,4.0,246.0,1.0,51.0,1.0,3.0,115.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,9.0,0.0,0.0,True,fs/ext4/inode.c,ext4_init_io_end,5,17,4,15,56,2015
10,10,ext4_ext_insert_extent_fs%ext4%extents_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,177.0,22.0,3822.0,505.0,11.0,141.0,3.0,36.0,5.0,13.0,68.0,31.0,7.0,0.0,0.0,0.0,87.33333333333331,2.9289215686274512,11.333333333333336,4.446078431372549,4.446078431372549,True,fs/ext4/extents.c,ext4_ext_insert_extent,26,155,15,89,2,2015
11,11,ext4_show_options_fs%ext4%super_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,122.0,48.0,4138.0,692.0,25.0,253.0,3.0,69.0,2.0,14.0,107.0,9.0,0.0,3.0,0.0,0.0,87.33333333333331,2.9289215686274512,11.333333333333336,4.446078431372549,4.446078431372549,True,fs/ext4/super.c,ext4_show_options,15,66,22,590,1,2015
13,13,ext4_ext_handle_uninitialized_extents_fs%ext4%extents_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,125.0,14.0,3822.0,505.0,7.0,141.0,3.0,36.0,9.0,9.0,68.0,45.0,10.0,0.0,0.0,0.0,80.0,2.1372549019607843,8.666666666666666,3.1960784313725488,3.1960784313725488,True,fs/ext4/extents.c,ext4_ext_handle_uninitialized_extents,12,75,7,26,56,2015
14,14,ext4_invalidatepage_fs%ext4%inode_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,16.0,3.0,5843.0,772.0,2.0,246.0,0.0,51.0,2.0,6.0,115.0,3.0,1.0,0.0,0.0,0.0,28.2,1.0,8.571428571428571,2.5312012012012013,2.5312012012012013,True,fs/ext4/inode.c,ext4_invalidatepage,0,2,22,590,56,2015
15,15,ext4_free_io_end_fs%ext4%inode_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,7.0,1.0,5843.0,772.0,1.0,246.0,1.0,51.0,1.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,9.0,0.0,0.0,True,fs/ext4/inode.c,ext4_free_io_end,0,4,4,15,56,2015
16,16,ext4_ext_get_blocks_fs%ext4%extents_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,291.0,35.0,3822.0,505.0,44.0,141.0,4.0,36.0,6.0,31.0,68.0,99.0,26.0,0.0,0.0,0.0,66.25,2.1966911764705883,8.5,3.334558823529412,3.334558823529412,True,fs/ext4/extents.c,ext4_ext_get_blocks,30,129,12,116,1,2015
17,17,ext4_ext_direct_IO_fs%ext4%inode_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,92.0,12.0,5843.0,772.0,7.0,246.0,2.0,51.0,5.0,20.0,115.0,48.0,10.0,0.0,0.0,0.0,118.5,3.2058823529411766,13.0,4.794117647058823,4.794117647058823,True,fs/ext4/inode.c,ext4_ext_direct_IO,36,57,7,26,56,2015
18,18,ext4_end_io_dio_fs%ext4%inode_744692dc059845b2a3022119871846e74d4f6e11_CVE-2015-8324,42.0,4.0,5843.0,772.0,5.0,246.0,1.0,51.0,4.0,5.0,115.0,12.0,1.0,0.0,0.0,0.0,24.0,0.0,9.0,0.0,0.0,True,fs/ext4/inode.c,ext4_end_io_dio,18,21,4,15,56,2015
19,19,pipe_write_fs%pipe_f0d1bec9d58d4c038d0ac958c9af82be6eb18045_CVE-2015-1805,195.0,38.0,1219.0,192.0,24.0,131.0,2.0,51.0,4.0,67.0,39.0,16.0,0.0,1.0,0.0,0.0,42529.5,2033.833333333333,6.0,5626.666666666668,5626.666666666668,True,fs/pipe.c,pipe_write,5,6,8705,119390,4,2015
20,20,x509_decode_time_crypto%asymmetric_keys%x509_cert_parser_cc25b994acfbc901429da682d0f73c190e960206_CVE-2015-5327,82.0,21.0,648.0,93.0,6.0,17.0,2.0,5.0,5.0,20.0,21.0,6.0,8.0,3.0,0.0,0.0,3.0,0.1,2.5,0.0,0.0,True,crypto/asymmetric_keys/x509_cert_parser.c,x509_decode_time,0,46,2,5,185,2015
21,21,fuse_fill_write_pages_fs%fuse%file_3ca8138f014a913f98e6ef40e939868e1e9ea876_CVE-2015-8785,64.0,12.0,2994.0,458.0,12.0,274.0,0.0,53.0,4.0,26.0,102.0,0.0,2.0,0.0,0.0,0.0,28.2,1.0,8.571428571428571,2.5312012012012013,2.5312012012012013,True,fs/fuse/file.c,fuse_fill_write_pages,3,58,20,32,2,2015
22,22,virtnet_probe_drivers%net%virtio_net_48900cb6af4282fa0fb6ff4d72a81aa3dadb5c39_CVE-2015-5156,236.0,37.0,2042.0,280.0,84.0,281.0,20.0,63.0,1.0,6.0,71.0,49.0,27.0,0.0,0.0,0.0,4296.5,204.0914627505981,11.85,565.0432011935209,565.0432011935209,True,drivers/net/virtio_net.c,virtnet_probe,40,84,122,241,1,2015
23,23,sctp_init_net%sctp%protocol_8e2d61e0aed2b7c4ecb35844fe07e0b2b762dee4_CVE-2015-5283,198.0,25.0,1570.0,193.0,43.0,201.0,11.0,66.0,0.0,8.0,58.0,30.0,0.0,4.0,0.0,0.0,42.09090909090909,0.9986824769433466,8.818181818181818,3.3434123847167325,3.3434123847167325,True,net/sctp/protocol.c,sctp_init,32,235,8705,119390,1,2015
24,24,oz_usb_handle_ep_data_drivers%staging%ozwpan%ozusbsvc1_04bf464a5dfd9ade0dda918e44366c2c61fce80b_CVE-2015-4003,43.0,6.0,458.0,53.0,7.0,18.0,2.0,11.0,3.0,31.0,11.0,0.0,0.0,3.0,0.0,0.0,164.0,4.392857142857142,10.5,18.17857142857143,18.17857142857143,True,drivers/staging/ozwpan/ozusbsvc1.c,oz_usb_handle_ep_data,1,39,8,89,1,2015
25,25,sctp_exit_net%sctp%protocol_8e2d61e0aed2b7c4ecb35844fe07e0b2b762dee4_CVE-2015-5283,45.0,1.0,1570.0,193.0,17.0,201.0,4.0,66.0,0.0,0.0,58.0,14.0,0.0,2.0,0.0,0.0,30.25,0.21666666666666667,10.5,0.6916666666666667,0.6916666666666667,True,net/sctp/protocol.c,sctp_exit,15,39,8705,119390,7,2015
26,26,handle_to_path_fs%fhandle_161f873b89136eb1e69477c847d5a5033239d9ba_CVE-2015-1420,49.0,7.0,265.0,36.0,1.0,10.0,1.0,7.0,3.0,6.0,6.0,8.0,2.0,0.0,0.0,0.0,25.0,2.375,8.0,3.75,3.75,True,fs/fhandle.c,handle_to_path,0,46,3,8,269,2015
27,27,hub_activate_drivers%usb%core%hub_e50293ef9775c5f1cf3fcc093037dd6a8c5684ea_CVE-2015-8816,246.0,44.0,5690.0,934.0,44.0,496.0,10.0,129.0,2.0,28.0,126.0,90.0,21.0,0.0,0.0,0.0,8760.4,408.0124293785311,8.3,1129.670338983051,1129.670338983051,True,drivers/usb/core/hub.c,hub_activate,21,46,8705,119390,1,2015
29,29,sco_sock_bind_net%bluetooth%sco_5233252fce714053f0151680933571a2da9cbfb4_CVE-2015-8575,32.0,5.0,1268.0,178.0,7.0,134.0,3.0,55.0,3.0,9.0,45.0,0.0,2.0,1.0,0.0,0.0,41.0,1.9814814814814816,6.0,3.864814814814815,3.864814814814815,True,net/bluetooth/sco.c,sco_sock_bind,6,35,8705,119390,168,2015
30,30,ext4_zero_range_fs%ext4%extents_0f2af21aae11972fa924374ddcf52e88347cf5a8_CVE-2015-0275,169.0,26.0,5699.0,787.0,10.0,441.0,2.0,89.0,4.0,27.0,86.0,47.0,12.0,0.0,0.0,0.0,111.5,5.28921568627451,11.5,8.127450980392156,8.127450980392156,True,fs/ext4/extents.c,ext4_zero_range,14,137,7,37,5,2015
31,31,vivid_fb_ioctl_drivers%media%platform%vivid%vivid-osd_eda98796aff0d9bf41094b06811f5def3b4c333c_CVE-2015-7884,25.0,3.0,400.0,38.0,2.0,2.0,0.0,2.0,3.0,5.0,13.0,0.0,1.0,2.0,0.0,0.0,28.2,1.0,8.571428571428571,2.5312012012012013,2.5312012012012013,True,drivers/media/platform/vivid/vivid-osd.c,vivid_fb_ioctl,0,24,1,13,2000,2015
32,32,dup_mm_kernel%fork_bfedb589252c01fa505ac9f6f2a3d5d68d707ef4_CVE-2015-8709,38.0,6.0,2331.0,284.0,57.0,731.0,14.0,220.0,1.0,6.0,73.0,3.0,1.0,0.0,0.0,0.0,6125.7142857142835,292.558055110156,15.285714285714285,812.067106562905,812.067106562905,True,kernel/fork.c,dup_mm,6,44,10,26,2,2015
33,33,sctp_setsockopt_auto_asconf_net%sctp%socket_2d45a02d0166caf2627fe91897c6ffc3b19514c4_CVE-2015-3212,26.0,13.0,7398.0,1078.0,6.0,312.0,4.0,79.0,3.0,5.0,135.0,0.0,3.0,1.0,0.0,0.0,6.25,0.08333333333333333,7.0,0.175,0.175,True,net/sctp/socket.c,sctp_setsockopt_auto_asconf,0,25,5,19,7,2015
34,34,bpf_int_jit_compile_arch%x86%net%bpf_jit_comp_3f7352bf21f8fd7ba3e2fcef9488756f188e12be_CVE-2015-4700,69.0,15.0,1020.0,238.0,13.0,39.0,1.0,12.0,1.0,12.0,16.0,4.0,2.0,2.0,0.0,0.0,96.0,0.5333333333333333,15.0,2.066666666666667,2.066666666666667,True,arch/x86/net/bpf_jit_comp.c,bpf_int_jit_compile,3,3,18,76,61,2015
35,35,mm_alloc_kernel%fork_bfedb589252c01fa505ac9f6f2a3d5d68d707ef4_CVE-2015-8709,12.0,2.0,2331.0,284.0,2.0,731.0,1.0,220.0,0.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09090909090909093,11.0,1.2727272727272727,1.2727272727272727,True,kernel/fork.c,mm_alloc,11,13,8705,119390,1,2015
36,36,sctp_close_net%sctp%socket_2d45a02d0166caf2627fe91897c6ffc3b19514c4_CVE-2015-3212,88.0,11.0,7398.0,1078.0,13.0,312.0,3.0,79.0,2.0,10.0,135.0,26.0,5.0,0.0,0.0,0.0,35.333333333333336,0.17777777777777778,9.0,0.7444444444444445,0.7444444444444445,True,net/sctp/socket.c,sctp_close,8,66,8705,119390,33,2015
37,37,nft_flush_table_net%netfilter%nf_tables_api_a2f18db0c68fec96631c10cad9384c196e9008ac_CVE-2015-1573,34.0,6.0,4181.0,752.0,2.0,103.0,1.0,14.0,1.0,5.0,111.0,0.0,0.0,0.0,0.0,0.0,36.0,0.21428571428571427,14.0,1.5,1.5,True,net/netfilter/nf_tables_api.c,nft_flush_table,0,32,1,3,17,2015
38,38,perf_pmu_register_kernel%events%core_c3c87e770458aa004bd7ed3f29945ff436fd6511_CVE-2015-9004,103.0,14.0,8368.0,1165.0,3.0,277.0,2.0,57.0,3.0,3.0,330.0,5.0,14.0,0.0,0.0,0.0,45.5,0.25,2.5,1.25,1.25,True,kernel/events/core.c,perf_pmu_register,3,3,3,13,9,2015
39,39,get_bitmap_file_drivers%md%md_b6878d9e03043695dbf3fa1caa6dfc09db225b16_CVE-2015-5697,33.0,6.0,9059.0,1738.0,13.0,818.0,3.0,104.0,2.0,5.0,239.0,4.0,4.0,0.0,0.0,0.0,55.33333333333334,22.558823529411764,7.0,45.86274509803922,45.86274509803922,True,drivers/md/md.c,get_bitmap_file,16,35,15,316,349,2015
40,40,sg_start_req_drivers%scsi%sg_fdc81f45e9f57858da6351836507fbcf1b7583ee_CVE-2015-5707,125.0,25.0,2705.0,497.0,2.0,184.0,1.0,68.0,2.0,53.0,72.0,15.0,0.0,2.0,0.0,0.0,58.0,23.714285714285715,7.0,22.714285714285715,22.714285714285715,True,drivers/scsi/sg.c,sg_start_req,31,33,8705,119390,19,2015
41,41,__rds_conn_create_net%rds%connection_8c7188b23474cca017b3ef354c4a58456f68303a_CVE-2015-7990,145.0,20.0,594.0,59.0,22.0,39.0,4.0,13.0,6.0,13.0,19.0,28.0,8.0,0.0,0.0,0.0,10.75,0.275,3.0,1.2,1.2,True,net/rds/connection.c,__rds_conn_create,31,116,62,86,43,2015
42,42,sg_common_write_drivers%scsi%sg_f3951a3709ff50990bf3e188c27d346792103432_CVE-2015-8962,49.0,6.0,2699.0,496.0,1.0,185.0,0.0,69.0,5.0,10.0,72.0,4.0,2.0,2.0,0.0,0.0,28.2,1.0,8.571428571428571,2.5312012012012013,2.5312012012012013,True,drivers/scsi/sg.c,sg_common_write,16,80,8705,119390,28,2015
43,43,clie_5_attach_drivers%usb%serial%visor_cb3232138e37129e88240a98a1d2aba2187ff57c_CVE-2015-7566,34.0,3.0,624.0,54.0,7.0,75.0,2.0,30.0,1.0,3.0,10.0,13.0,1.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,True,drivers/usb/serial/visor.c,clie_5_attach,10,20,8705,119390,358,2015
44,44,skcipher_setkey_crypto%algif_skcipher_dd504589577d8e8e70f51f997ad487a4cb6c026f_CVE-2015-8970,5.0,1.0,853.0,118.0,3.0,34.0,1.0,14.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,2.0,2.0,2.0,True,crypto/algif_skcipher.c,skcipher_setkey,0,4,1,19,1011,2015
