,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com
0,app_load_modules_apps%apps,19,4.0,2561,518.0,2,222,2,20,1,3,103,0,3,0,0,0,68.5,0.3781512605042017,19.0,0.5182072829131652,0.5182072829131652,False,apps/apps.c,app_load_modules,0,18,42,47,765
1,load_cert_apps%apps,44,9.0,2561,518.0,6,222,3,20,5,4,103,0,12,1,0,0,60.66666666666666,0.2901960784313726,9.666666666666666,1.147058823529412,1.147058823529412,False,apps/apps.c,load_cert,64,94,848,7132,175
2,set_cert_ex_apps%apps,26,1.0,2561,518.0,6,222,2,20,2,25,103,0,0,0,0,0,56.5,0.2,6.0,1.25,1.25,False,apps/apps.c,set_cert_ex,22,22,848,7132,289
3,copy_extensions_apps%apps,49,9.0,2561,518.0,9,222,4,20,3,7,103,9,6,0,0,0,46.5,0.17142857142857146,8.5,0.6488095238095238,0.6488095238095238,False,apps/apps.c,copy_extensions,0,39,848,7132,289
4,load_cert_crl_http_apps%apps,49,13.0,2561,518.0,6,222,3,20,3,18,103,0,3,0,0,0,60.66666666666666,0.2901960784313726,9.666666666666666,1.147058823529412,1.147058823529412,False,apps/apps.c,load_cert_crl_http,53,61,848,7132,175
5,ctx_set_verify_locations_apps%apps,14,7.0,2561,518.0,2,222,2,20,5,0,103,0,10,0,0,0,65.5,0.4352941176470588,13.5,1.2205882352941178,1.2205882352941178,False,apps/apps.c,ctx_set_verify_locations,7,10,53,259,175
6,try_load_engine_apps%apps,13,4.0,2561,518.0,4,222,3,20,2,3,103,0,2,0,0,0,66.33333333333333,0.38543417366946775,16.0,0.8454715219421102,0.8454715219421102,False,apps/apps.c,try_load_engine,11,14,848,7132,85
7,add_oid_section_apps%apps,26,5.0,2561,518.0,7,222,5,20,1,3,103,0,2,0,1,0,51.0,0.23126050420168065,10.2,0.7072829131652659,0.7072829131652659,False,apps/apps.c,add_oid_section,21,22,848,7132,175
8,index_serial_cmp_apps%apps,10,3.0,2561,518.0,5,222,3,20,2,2,103,0,0,0,0,0,60.33333333333334,0.2285714285714285,11.0,0.8650793650793651,0.8650793650793651,False,apps/apps.c,index_serial_cmp,8,8,848,7132,289
9,app_get_pass_apps%apps,90,19.0,2561,518.0,2,222,2,20,2,8,103,18,13,0,0,0,60.0,0.2352941176470588,9.5,0.9705882352941176,0.9705882352941176,False,apps/apps.c,app_get_pass,56,67,848,7132,175
10,set_ext_copy_apps%apps,13,4.0,2561,518.0,3,222,3,20,2,0,103,0,6,0,0,0,60.66666666666666,0.2901960784313726,9.666666666666666,1.147058823529412,1.147058823529412,False,apps/apps.c,set_ext_copy,9,12,848,7132,175
11,rand_serial_apps%apps,25,7.0,2561,518.0,4,222,3,20,2,3,103,0,4,0,0,0,60.66666666666666,0.2901960784313726,9.666666666666666,1.147058823529412,1.147058823529412,False,apps/apps.c,rand_serial,25,26,848,7132,175
