,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
0,0,EVP_aes_128_cbc_hmac_sha1_crypto%evp%e_aes_cbc_hmac_sha1_125093b59f3c2a2d33785b5563d929d0472f1721_CVE-2012-2686,11,1.0,406,41.0,1,7,1,3,0,0,10,0,0,0,0,0,64.0,2.0,4.0,5.0,5.0,True,crypto/evp/e_aes_cbc_hmac_sha1.c,EVP_aes_128_cbc_hmac_sha1,0,5,5,13,460,2012
2,2,OpenSSL_add_all_ciphers_crypto%evp%c_allc_125093b59f3c2a2d33785b5563d929d0472f1721_CVE-2012-2686,170,1.0,232,1.0,21,21,5,6,0,0,1,2,0,0,0,0,61.6,0.7033333333333334,17.4,1.9666666666666663,1.9666666666666663,True,crypto/evp/c_allc.c,OpenSSL_add_all_ciphers,27,83,83,106,315,2012
3,3,EVP_aes_256_cbc_hmac_sha1_crypto%evp%e_aes_cbc_hmac_sha1_125093b59f3c2a2d33785b5563d929d0472f1721_CVE-2012-2686,11,1.0,406,41.0,1,7,1,3,0,0,10,0,0,0,0,0,64.0,2.0,4.0,5.0,5.0,True,crypto/evp/e_aes_cbc_hmac_sha1.c,EVP_aes_256_cbc_hmac_sha1,0,5,5,13,460,2012
4,4,aesni_cbc_hmac_sha1_cipher_crypto%evp%e_aes_cbc_hmac_sha1_125093b59f3c2a2d33785b5563d929d0472f1721_CVE-2012-2686,127,16.0,406,41.0,4,7,2,3,4,18,10,21,30,2,0,0,55.5,1.0,3.0,3.0,3.0,True,crypto/evp/e_aes_cbc_hmac_sha1.c,aesni_cbc_hmac_sha1_cipher,2,108,5,13,460,2012
5,5,SSL_library_init_ssl%ssl_algs_125093b59f3c2a2d33785b5563d929d0472f1721_CVE-2012-2686,96,1.0,151,1.0,24,25,6,10,0,0,1,18,0,1,0,0,53.0,0.5861111111111111,15.333333333333336,2.1722222222222216,2.1722222222222216,True,ssl/ssl_algs.c,SSL_library_init,8,9,490,2269,9,2012
6,6,ASN1_item_verify_crypto%asn1%a_verify_ebc71865f0506a293242bd4aec97cdc7a8ef24b0_CVE-2013-0166,74,7.0,195,11.0,10,22,3,7,5,12,2,13,5,4,0,0,38.0,0.1,7.666666666666668,0.3666666666666667,0.3666666666666667,True,crypto/asn1/a_verify.c,ASN1_item_verify,39,44,60,101,315,2013
7,7,dtls1_hm_fragment_free_ssl%d1_both_34628967f1e65dc8f34e000f0f5518e21afbfc7b_CVE-2013-6450,9,3.0,1592,197.0,5,46,2,7,1,0,30,0,2,0,0,0,55.5,1.0,3.0,3.0,3.0,True,ssl/d1_both.c,dtls1_hm_fragment_free,4,5,22,152,333,2013
8,8,tls1_change_cipher_state_ssl%t1_enc_34628967f1e65dc8f34e000f0f5518e21afbfc7b_CVE-2013-6450,295,43.0,1248,242.0,25,92,6,12,2,39,12,29,53,3,0,0,33.666666666666664,0.3833333333333333,5.833333333333332,1.55,1.55,True,ssl/t1_enc.c,tls1_change_cipher_state,24,25,490,2269,9,2013
9,9,ssl3_take_mac_ssl%s3_both_197e0ea817ad64820789d86711d55ff50d71f631_CVE-2013-4353,18,2.0,848,138.0,3,61,1,11,1,2,17,0,1,0,0,0,47.0,0.0,2.0,1.0,1.0,True,ssl/s3_both.c,ssl3_take_mac,0,19,10,30,333,2013
10,10,ssl_get_algorithm2_ssl%s3_lib_ca989269a2876bae79393bd54c3e72d49975fc75_CVE-2013-6449,9,3.0,4294,288.0,3,156,1,12,1,7,23,0,1,0,0,0,47.0,0.0,2.0,1.0,1.0,True,ssl/s3_lib.c,ssl_get_algorithm2,2,8,17,31,2204,2013
11,11,ssl23_get_client_hello_ssl%s23_srvr_b82924741b4bd590da890619be671f4635e46c2b_CVE-2014-3569,419,62.0,610,86.0,1,60,0,11,1,18,3,153,73,8,0,0,45.0,0.2,7.2,1.0,1.0,True,ssl/s23_srvr.c,ssl23_get_client_hello,23,42,490,2269,2,2014
12,12,ssl23_get_client_hello_ssl%s23_srvr_26a59d9b46574e457870197dffa802871b4c8fc7_CVE-2014-3568,475,75.0,657,101.0,1,65,0,11,1,18,3,181,123,8,0,0,45.0,0.2,7.2,1.0,1.0,True,ssl/s23_srvr.c,ssl23_get_client_hello,23,42,490,2269,2,2014
13,13,tls_decrypt_ticket_ssl%t1_lib_7fd4ce6a997be5f5c9e744ac527725c2850de203_CVE-2014-3567,113,14.0,2736,467.0,4,134,1,15,6,27,29,32,7,1,0,0,47.0,0.0,2.0,1.0,1.0,True,ssl/t1_lib.c,tls_decrypt_ticket,33,78,22,41,351,2014
14,14,dtls1_reassemble_fragment_ssl%d1_both_bff1ce4e6a1c57c3d0a5f9e4f85ba6385fccfe8b_CVE-2014-3505,116,18.0,1490,191.0,5,53,2,9,3,16,27,14,6,9,0,0,25.0,0.0,10.5,0.6842105263157895,0.6842105263157895,True,ssl/d1_both.c,dtls1_reassemble_fragment,9,100,1,8,1,2014
15,15,ssl23_get_client_method_ssl%s23_clnt_26a59d9b46574e457870197dffa802871b4c8fc7_CVE-2014-3568,18,6.0,803,125.0,2,65,1,13,1,0,6,0,11,0,0,0,47.0,0.0,2.0,1.0,1.0,True,ssl/s23_clnt.c,ssl23_get_client_method,2,3,490,2269,136,2014
16,16,dtls1_get_record_ssl%d1_pkt_feba02f3919495e1b960c33ba849e10e77d0785d_CVE-2014-3571,207,26.0,1922,299.0,9,73,3,14,1,11,19,83,27,0,0,0,57.66666666666666,0.7666666666666666,8.666666666666666,2.033333333333333,2.033333333333333,True,ssl/d1_pkt.c,dtls1_get_record,22,150,53,152,85,2014
17,17,ssl23_get_server_method_ssl%s23_srvr_26a59d9b46574e457870197dffa802871b4c8fc7_CVE-2014-3568,18,6.0,657,101.0,2,65,1,11,1,0,3,0,11,0,0,0,47.0,0.0,2.0,1.0,1.0,True,ssl/s23_srvr.c,ssl23_get_server_method,2,3,490,2269,136,2014
18,18,dtls1_process_out_of_seq_message_ssl%d1_both_bff1ce4e6a1c57c3d0a5f9e4f85ba6385fccfe8b_CVE-2014-3505,91,21.0,1490,191.0,9,53,3,9,3,14,27,16,11,5,0,0,57.66666666666666,0.7666666666666666,8.666666666666666,2.033333333333333,2.033333333333333,True,ssl/d1_both.c,dtls1_process_out_of_seq_message,32,38,22,152,351,2014
19,19,ssl3_read_n_ssl%s3_pkt_feba02f3919495e1b960c33ba849e10e77d0785d_CVE-2014-3571,160,27.0,1851,321.0,22,134,4,21,4,7,11,58,25,3,0,0,32.5,0.5,2.0,1.5,1.5,True,ssl/s3_pkt.c,ssl3_read_n,51,63,490,2269,196,2014
