,index,func_id,fun_loc,fun_cplx,mod_loc,mod_cplx,fun_nChanges,mod_nChanges,fun_nAuth,mod_nAuth,n_input,n_decl,n_coloc_funs,locom,n_sanity_check,n_cast,n_null_ptr,n_ptr_mod,avg_contr_follow,avg_contr_forks,avg_contr_repos,avg_contr_start,avg_contr_watch,is_vuln,filepath,funcname,sec_large_add,large_del,max_com_mod_span,max_com_func_span,min_contrib_com,year
0,0,dissect_ber_constrained_bitstring_epan%dissectors%packet-ber_17a552666b50896a9b9dde8ee6a1052e7f9a622e_CVE-2014-5165,211,34.0,4464,729.0,51,358,9,25,0,0,0,28,0,0,,,39.111111111111114,1.2299158249158249,8.11111111111111,10.6989898989899,10.6989898989899,True,epan/dissectors/packet-ber.c,dissect_ber_constrained_bitstring,50,143,257,595,648,2014
1,1,tvb_raw_text_add_epan%dissectors%packet-megaco_9112a099d7cc2cd924b7c667bf27f6e112b970c6_CVE-2014-6423,24,2.0,3632,491.0,1,82,0,22,0,0,0,0,0,0,,,18.0,0.1893939393939394,7.314285714285715,0.13333333333333333,0.13333333333333333,True,epan/dissectors/packet-megaco.c,tvb_raw_text_add,1,11,632,1850,6,2014
2,2,dissect_v9_v10_pdu_data_epan%dissectors%packet-netflow_44698259b1f5865c60323acaf2a633654a2abe81_CVE-2014-6424,3244,612.0,8364,833.0,8,148,4,21,0,0,0,659,0,0,,,14.5,0.10606060606060604,3.75,0.022727272727272728,0.022727272727272728,True,epan/dissectors/packet-netflow.c,dissect_v9_v10_pdu_data,546,2699,364,1927,527,2014
3,3,elem_a2p_bearer_format_epan%dissectors%packet-ansi_a_04c05a21e34cec326f1aff2f5f8a6e74e1ced984_CVE-2014-6421,240,18.0,12979,420.0,27,109,7,21,0,0,0,7,0,0,,,13.285714285714285,0.11822510822510825,8.142857142857142,0.12965367965367966,0.12965367965367966,True,epan/dissectors/packet-ansi_a.c,elem_a2p_bearer_format,169,214,364,1927,597,2014
4,4,dissect_rtp_rfc2198_epan%dissectors%packet-rtp_04c05a21e34cec326f1aff2f5f8a6e74e1ced984_CVE-2014-6421,125,14.0,3407,243.0,22,149,5,24,0,0,0,22,0,0,,,51.4,1.8966666666666665,7.6,19.083333333333336,19.083333333333336,True,epan/dissectors/packet-rtp.c,dissect_rtp_rfc2198,62,86,364,1927,53,2014
5,5,process_rtp_payload_epan%dissectors%packet-rtp_04c05a21e34cec326f1aff2f5f8a6e74e1ced984_CVE-2014-6421,143,28.0,3407,243.0,29,149,8,24,0,0,0,24,0,0,,,44.0,1.2801136363636365,14.0,11.980113636363635,11.980113636363635,True,epan/dissectors/packet-rtp.c,process_rtp_payload,35,99,658,1101,53,2014
6,6,rtp_add_address_epan%dissectors%packet-rtp_04c05a21e34cec326f1aff2f5f8a6e74e1ced984_CVE-2014-6421,9,1.0,3407,243.0,29,149,9,24,0,0,0,0,0,0,,,36.22222222222222,1.225841750841751,6.666666666666668,10.723063973063974,10.723063973063974,True,epan/dissectors/packet-rtp.c,rtp_add_address,6,27,57,100,53,2014
7,7,setup_sdp_transport_epan%dissectors%packet-sdp_04c05a21e34cec326f1aff2f5f8a6e74e1ced984_CVE-2014-6421,408,67.0,3069,390.0,46,168,7,24,0,0,0,100,0,0,,,45.714285714285715,1.563095238095238,7.0,13.773809523809526,13.773809523809526,True,epan/dissectors/packet-sdp.c,setup_sdp_transport,223,224,76,167,53,2014
8,8,get_unquoted_string_epan%dissectors%packet-cups_c10396dbbf782a576bc1f9a931cf86090cec3878_CVE-2014-6425,20,2.0,425,29.0,1,25,1,14,0,0,0,0,0,0,,,3.0,0.09090909090909093,11.0,0.09090909090909093,0.09090909090909093,True,epan/dissectors/packet-cups.c,get_unquoted_string,2,12,37,124,518,2014
9,9,get_quoted_string_epan%dissectors%packet-cups_c10396dbbf782a576bc1f9a931cf86090cec3878_CVE-2014-6425,25,3.0,425,29.0,1,25,1,14,0,0,0,0,0,0,,,3.0,0.09090909090909093,11.0,0.09090909090909093,0.09090909090909093,True,epan/dissectors/packet-cups.c,get_quoted_string,0,20,1,7,520,2014
10,10,dissect_sdp_media_attribute_epan%dissectors%packet-sdp_04c05a21e34cec326f1aff2f5f8a6e74e1ced984_CVE-2014-6421,664,46.0,3069,390.0,60,168,11,24,0,0,0,233,0,0,,,33.45454545454545,1.0332644628099177,11.090909090909092,8.803719008264462,8.803719008264462,True,epan/dissectors/packet-sdp.c,dissect_sdp_media_attribute,395,419,257,642,53,2014
11,11,h245_setup_channels_epan%dissectors%packet-h245_04c05a21e34cec326f1aff2f5f8a6e74e1ced984_CVE-2014-6421,64,12.0,20805,783.0,20,160,7,22,0,0,0,11,0,0,,,44.42857142857143,1.4153679653679654,7.428571428571429,13.643939393939394,13.643939393939394,True,epan/dissectors/packet-h245.c,h245_setup_channels,26,43,33,154,292,2014
12,12,srtp_add_address_epan%dissectors%packet-rtp_04c05a21e34cec326f1aff2f5f8a6e74e1ced984_CVE-2014-6421,111,11.0,3407,243.0,29,149,9,24,0,0,0,34,0,0,,,36.22222222222222,1.225841750841751,6.666666666666668,10.723063973063974,10.723063973063974,True,epan/dissectors/packet-rtp.c,srtp_add_address,16,75,39,154,53,2014
13,13,dissect_sdp_epan%dissectors%packet-sdp_04c05a21e34cec326f1aff2f5f8a6e74e1ced984_CVE-2014-6421,501,81.0,3069,390.0,41,168,8,24,0,0,0,124,0,0,,,42.75,1.2534469696969697,9.625,11.963446969696973,11.963446969696973,True,epan/dissectors/packet-sdp.c,dissect_sdp,324,332,594,951,53,2014
14,14,proto_register_rtp_epan%dissectors%packet-rtp_04c05a21e34cec326f1aff2f5f8a6e74e1ced984_CVE-2014-6421,822,1.0,3407,243.0,1,149,1,24,0,0,0,15,0,0,,,3.0,0.2,5.0,0.2,0.2,True,epan/dissectors/packet-rtp.c,proto_register_rtp,362,852,681,681,53,2014
15,15,dissect_amqp_0_10_stream_epan%dissectors%packet-amqp_8f62bb7cce5a82baa543b14800fd7c12548b497a_CVE-2014-8711,2268,40.0,13651,981.0,2,78,1,18,0,0,0,53,0,0,,,51.0,0.3333333333333333,3.0,0.0,0.0,True,epan/dissectors/packet-amqp.c,dissect_amqp_0_10_stream,30,255,291,1101,752,2014
16,16,dissect_amqp_0_10_dtx_epan%dissectors%packet-amqp_8f62bb7cce5a82baa543b14800fd7c12548b497a_CVE-2014-8711,2252,29.0,13651,981.0,2,78,1,18,0,0,0,42,0,0,,,51.0,0.3333333333333333,3.0,0.0,0.0,True,epan/dissectors/packet-amqp.c,dissect_amqp_0_10_dtx,18,198,291,1101,752,2014
17,17,mpeg_read_wiretap%mpeg_f567435ac7140c96a5de56dbce3d5e7659af4d09_CVE-2014-2299,129,24.0,306,47.0,4,24,1,10,0,0,0,3,0,0,,,51.0,0.3333333333333333,3.0,0.0,0.0,True,wiretap/mpeg.c,mpeg_read,31,123,57,214,40,2014
18,18,dissect_amqp_0_10_message_epan%dissectors%packet-amqp_8f62bb7cce5a82baa543b14800fd7c12548b497a_CVE-2014-8711,2522,66.0,13651,981.0,2,78,1,18,0,0,0,94,0,0,,,51.0,0.3333333333333333,3.0,0.0,0.0,True,epan/dissectors/packet-amqp.c,dissect_amqp_0_10_message,35,356,291,1101,752,2014
19,19,dissect_amqp_0_10_exchange_epan%dissectors%packet-amqp_8f62bb7cce5a82baa543b14800fd7c12548b497a_CVE-2014-8711,2342,38.0,13651,981.0,2,78,1,18,0,0,0,47,0,0,,,51.0,0.3333333333333333,3.0,0.0,0.0,True,epan/dissectors/packet-amqp.c,dissect_amqp_0_10_exchange,28,267,291,1101,752,2014
20,20,dissect_amqp_0_10_file_epan%dissectors%packet-amqp_8f62bb7cce5a82baa543b14800fd7c12548b497a_CVE-2014-8711,2374,59.0,13651,981.0,2,78,1,18,0,0,0,68,0,0,,,51.0,0.3333333333333333,3.0,0.0,0.0,True,epan/dissectors/packet-amqp.c,dissect_amqp_0_10_file,40,339,291,1101,752,2014
21,21,dissect_amqp_0_10_connection_epan%dissectors%packet-amqp_8f62bb7cce5a82baa543b14800fd7c12548b497a_CVE-2014-8711,2555,56.0,13651,981.0,2,78,1,18,0,0,0,93,0,0,,,51.0,0.3333333333333333,3.0,0.0,0.0,True,epan/dissectors/packet-amqp.c,dissect_amqp_0_10_connection,30,339,291,1101,752,2014
22,22,dissect_amqp_0_10_execution_epan%dissectors%packet-amqp_8f62bb7cce5a82baa543b14800fd7c12548b497a_CVE-2014-8711,2348,34.0,13651,981.0,2,78,1,18,0,0,0,51,0,0,,,51.0,0.3333333333333333,3.0,0.0,0.0,True,epan/dissectors/packet-amqp.c,dissect_amqp_0_10_execution,16,189,291,1101,752,2014
23,23,format_amqp_0_10_vbin_epan%dissectors%packet-amqp_8f62bb7cce5a82baa543b14800fd7c12548b497a_CVE-2014-8711,592,4.0,13651,981.0,1,78,1,18,0,0,0,89,0,0,,,51.0,0.3333333333333333,3.0,0.0,0.0,True,epan/dissectors/packet-amqp.c,format_amqp_0_10_vbin,1,21,105,233,790,2014
